id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
869,"SNOPEK, Carlos Daniel","SNOPEK, Carlos Daniel",517,NULL,-0.921356781183365,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PRIMERO JUJUY","NOROESTE","JUJUY",38
870,"SOLA, Felipe Carlos","SOLA, Felipe Carlos",518,NULL,0.202516057619788,2008,"fsola_medium.jpg","http://s6.postimage.org/njlj765h9/fsola_medium.jpg","UNION PERONISTA","BUENOS AIRES","BUENOS AIRES",6
871,"SOLANAS, Raul Patricio","SOLANAS, Raúl Patricio",521,NULL,-0.966691409588298,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NORESTE","ENTRE RIOS",30
872,"SOTO, Gladys Beatriz","SOTO, Gladys Beatriz",523,NULL,-0.965731395463432,2008,"gsoto_medium.jpg","http://s6.postimage.org/nu28hzyv1/gsoto_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NORESTE","CHACO",22
873,"SPATOLA, Paola Rosana","SPATOLA, Paola Rosana",524,NULL,0.568763223365843,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","GUARDIA PERONISTA","BUENOS AIRES","BUENOS AIRES",6
874,"STORNI, Silvia","STORNI, Silvia",530,NULL,2.12592718741506,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNION CIVICA RADICAL","CENTRO","CORDOBA",14
875,"SYLVESTRE BEGNIS, Juan Hector","SYLVESTRE BEGNIS, Juan Héctor",531,NULL,-0.374468349403903,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","CENTRO","SANTA FE",82
876,"THOMAS, Enrique Luis","THOMAS, Enrique Luis",534,NULL,0.217170020823254,2008,"ethomas_medium.jpg","http://s6.postimage.org/mty5h2fjx/ethomas_medium.jpg","FRENTE PERONISTA","CUYO","MENDOZA",50
877,"TOMAZ, Adriana Elisa","TOMAZ, Adriana Elisa",539,NULL,0.553476207245145,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNIDAD FEDERALISTA","BUENOS AIRES","BUENOS AIRES",6
878,"TORFE, Monica Liliana","TORFE, Mónica Liliana",541,NULL,0.11344991106378,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO RENOVADOR DE SALTA","SUR","RIO NEGRO",62
879,"TORRONTEGUI, Maria Angelica","TORRONTEGUI, María Angélica",543,NULL,0.574923239749676,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","CUYO","SAN LUIS",74
880,"URLICH, Carlos","URLICH, Carlos",548,NULL,1.15853407920437,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE DE TODOS","NORESTE","CHACO",22
881,"VACA NARVAJA, Patricia","VACA NARVAJA, Patricia",550,NULL,-1.03243460651894,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","CENTRO","CORDOBA",14
882,"VARGAS AIGNASSE, Geronimo","VARGAS AIGNASSE, Gerónimo",554,NULL,-0.971068711634702,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","TUCUMAN",90
883,"VARISCO, Sergio Fausto","VARISCO, Sergio Fausto",555,NULL,1.60729891386502,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNION CIVICA RADICAL","NORESTE","ENTRE RIOS",30
884,"VAZQUEZ, Silvia Beatriz","VAZQUEZ, Silvia Beatriz",556,"VAZQUEZ de TABERNISE, Silvia Beatriz",-1.06043281084109,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
885,"VEGA, Juan Carlos","VEGA, Juan Carlos",558,NULL,1.09623962925563,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","COALICION CIVICA - ARI","CENTRO","CORDOBA",14
886,"VELARDE, Marta Sylvia","VELARDE, Marta Sylvia",559,NULL,0.733614736818834,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","SANTIAGO DEL ESTERO",86
887,"VIALE, Lisandro Alfredo","VIALE, Lisandro Alfredo",561,NULL,0.457710565604797,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO SOCIALISTA","NORESTE","ENTRE RIOS",30
888,"VILARINO, Jose Antonio","VILARIÑO, José Antonio",563,NULL,-0.78632755140706,2008,"jvilarino_medium.jpg","http://s6.postimage.org/5ckuugzzx/jvilarino_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","SALTA",66
889,"VILLAVERDE, Jorge Antonio","VILLAVERDE, Jorge Antonio",566,NULL,0.176703746595253,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PERONISMO FEDERAL","BUENOS AIRES","BUENOS AIRES",6
890,"WEST, Mariano Federico","WEST, Mariano Federico",568,NULL,-0.843275930182222,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
891,"ZANCADA, Pablo Ventura","ZANCADA, Pablo Ventura",575,NULL,0.46916063220228,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PROGRESISTA CIVICO Y SOCIAL","CENTRO","SANTA FE",82
892,"ZAVALLO, Gustavo Marcelo","ZAVALLO, Gustavo Marcelo",576,NULL,-0.189921659119276,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","NORESTE","ENTRE RIOS",30
893,"ACOSTA, Maria Julia","ACOSTA, María Julia",4,NULL,-1.08008487786504,2009,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","CATAMARCA",10
